"id","code","name","level"
"483","E020104","Tissue Wajah","4"
"484","E020105","Tas Makeup & Organizer","4"
"485","E020106","Set & Palet Makeup","4"
"486","E020107","Pembersih Makeup","4"
"487","E020108","Kaca","4"
"488","E020109","Puff & Spons","4"
"489","E020110","Rautan","4"
"490","E020111","Penjepit & Alat Cukur","4"
"491","E0202","Alat Perawatan Kulit","3"
"492","E020201","Tubuh","4"
"493","E020202","Wajah","4"
"494","E0203","Alat Pelangsing & Pemijat","3"
"495","E020301","Mekanis","4"
"496","E020302","Elektrik","4"
"497","E0204","Alat Styling Rambut & Pencukur","3"
"498","E020401","Alat Penghilang Rambut","4"
"499","E020402","Alat Styling Rambut","4"
"500","E020403","Alat Pencukur Rambut","4"
"502","E0301","Suplemen Kesehatan & Pelangsing","3"
"503","E030101","Vitamin & Suplemen","4"
"504","E030102","Produk Pelangsing","4"
"505","E030103","Suplemen Kecantikan","4"
"506","E030104","Suplemen Kesehatan","4"
"507","E030105","Nutrisi Olahraga","4"
"508","E030106","Produk Spa","4"
"509","E0302","Kontrasepsi","3"
"510","E030201","Kondom","4"
"511","E030202","Pelumas","4"
"512","E030203","Minyak Pijat, Tubuh & Esensial","4"
"513","E030204","Obat Kuat","4"
"514","E030205","Mainan Sensual","4"
"515","E0303","Perawatan Diri","3"
"516","E030301","Tampon","4"
"517","E030302","Pembalut","4"
"518","E030303","Panty Liner","4"
"519","E030304","Pembersih Kewanitaan","4"
"520","E030305","Pelembab Kewanitaan","4"
"521","E030306","Kesuburan & Kehamilan","4"
"522","E030307","Bedak Tabur","4"
"523","E0304","Perlengkapan Medis","3"
"524","E030401","Farmasi","4"
"525","E030402","Monitor Tekanan Darah","4"
"526","E030403","Termometer","4"
"527","E030404","Perban & Alat Terapi Cedera","4"
"528","E030405","Pedometer","4"
"529","E030406","P3K","4"
"530","E030407","Tes Medis","4"
"531","E030408","Timbangan & Alat Ukur Kadar Lemak","4"
"532","E030409","Perlengkapan & Peralatan Medis Lainnya","4"
"535","F0101","Formal","3"
"536","F0102","Fashion","3"
"537","F0103","Santai","3"
"538","F0104","Olahraga","3"
"539","F0105","Luxury","3"
"540","F0106","Aksesoris Jam Tangan","3"
"542","F0201","Formal","3"
"543","F0202","Fashion","3"
"544","F0203","Santai","3"
"545","F0204","Olahraga","3"
"546","F0205","Luxury","3"
"547","F0206","Aksesoris Jam Tangan","3"
"549","F0301","Laki-laki","3"
"550","F0302","Perempuan","3"
"552","F0401","Gelang","3"
"553","F0402","Anting","3"
"554","F0403","Kalung","3"
"555","F0404","Cincin","3"
"556","F0405","Set Perhiasan","3"
"557","F0406","Luxury","3"
"558","F0407","Emas","3"
"559","F0408","Liontin & Set","3"
"560","F0409","Perhiasan Lainnya","3"
"563","G0101","Microwave","3"
"564","G010101","Grill Microwave","4"
"565","G010102","Digital & Manual Microwave Oven","4"
"566","G010103","Convection Microwave","4"
"567","G010104","Aksesoris Microwave","4"
"568","G0102","Oven","3"
"569","G010201","Oven Elektrik","4"
"570","G010202","Oven Pemanggang","4"
"571","G010203","Built-In Oven","4"
"572","G010204","Alat Pembuat Sarapan","4"
"573","G010205","Oven Halogen Kaca","4"
"574","G010206","Aksesoris Oven","4"
"575","G0103","Blender, Mixer & Penggiling","3"
"576","G010301","Blender","4"
"577","G010302","Blender Tangan","4"
"578","G010303","Mixer","4"
"579","G010304","Penggiling","4"
"580","G010305","Aksesoris Blender & Mixer","4"
"581","G0104","Mesin Kopi & Aksesoris","3"
"582","G010401","Mesin Kopi Otomatis","4"
"583","G010402","Mesin Kopi Manual","4"
"584","G010403","Mesin Kopi Kapsul","4"
"585","G010404","Kopi & Pelengkap","4"
"586","G010405","Mesin Kopi Built-in","4"
"587","G010406","Penyeduh Teh","4"
"588","G010407","Pengaduk Pembuat Buih Susu","4"
"589","G010408","Aksesoris Mesin Kopi","4"
"590","G0105","Ketel Elektrik & Thermo Pot","3"
"591","G010501","Ketel Elektrik","4"
"592","G010502","Thermo Pot","4"
"593","G0106","Peralatan Masak Elektrik","3"
"594","G010601","Pisau & Pengasah Pisau Elektrik","4"
"595","G010602","Panci Elektrik","4"
"596","G010603","Food Processor","4"
"597","G0107","Kompor","3"
"598","G010701","Kompor Elektrik","4"
"599","G010702","Kompor Gas","4"
"600","G010703","Kompor Induksi","4"
"601","G010704","Kompor Inframerah","4"
"602","G010705","Kompor Lainnya","4"
"603","G0108","Juicers & Pengekstrak Buah","3"
"604","G010801","Juicer","4"
"605","G010802","Juicer Jeruk","4"
"606","G010803","Slow Juicer","4"
"607","G0109","Dispenser Air","3"
"608","G0110","Lemari Es","3"
"609","G0111","Pendingin","3"
"610","G0112","Pencuci Piring","3"
"611","G0113","Rice Cooker & Steamer","3"
"612","G011301","Rice Cooker","4"
"613","G01130101","Rice Cooker Digital","5"
"614","G01130102","Rice Cooker Konvensional","5"
"615","G01130103","Rice Cooker Jar","5"
"616","G011302","Slow Cookers","4"
"617","G011303","Steamers","4"
"618","G011304","Pressure cookers","4"
"619","G011305","Multi Cooker","4"
"620","G011306","Alat Rebus Telur","4"
"621","G011307","Aksesoris Cooker","4"
"622","G0114","Peralatan Masak Khusus","3"
"623","G011401","Alat Masak Lainnya","4"
"624","G011402","Pembuat Roti","4"
"625","G011403","Pembuat Pasta","4"
"626","G011404","Kotak Makan Elektrik","4"
"627","G011405","Food Purifier","4"
"628","G011406","Aksesoris","4"
"630","G0201","AC","3"
"631","G020101","AC Split","4"
"632","G020102","AC Window","4"
"633","G020103","AC Lantai","4"
"634","G020104","Aksesoris AC","4"
"635","G0202","Penjernih Udara, Dehumidifier & Humidifier","3"
"636","G020201","Penjernih Udara","4"
"637","G020202","Dehumidifier","4"
"638","G020203","Humidifier","4"
"639","G0203","Kipas Angin","3"
"640","G020301","Kipas  Dinding & Langit-langit","4"
"641","G020302","Kipas Berdiri","4"
"642","G020303","Kipas Geser","4"
"643","G020304","Kipas Meja","4"
"644","G020305","Kipas Tower & Berdiri","4"
"645","G020306","Kipas Bladeless","4"
"646","G020307","Kiaps Industrial","4"
"647","G020308","Kipas Isi Ulang","4"
"648","G020309","Aksesoris Kipas","4"
"649","G020310","Kipas Kotak","4"
"650","G0204","Pemanas Air","3"
"651","G020401","Pemanas Air Multipoint","4"
"652","G020402","Pemanas Air Singlepoint","4"
"653","G020403","Aksesoris Pemanas Air","4"
"654","G0205","Ventilasi","3"
"655","G020501","Kipas Exhaust","4"
"656","G020502","Kipas Ventilasi","4"
"657","G020503","Aksesoris Ventilasi","4"
"658","G0206","Pendingin Udara","3"
"659","G0207","Air Curtain","3"
"661","G0301","Penghisap Debu","3"
"662","G030101","Penghisap Debu Bag & Bagless","4"
"663","G030102","Penghisap Debu Genggam","4"
"664","G030103","Penghisap Debu Robotik","4"
"665","G030104","Penghisap Debu Basah & Kering","4"
"666","G030105","Penghisap Debu Upright","4"
"667","G030106","Power Vacuum","4"
"668","G030107","Aksesoris Penghisap Debu","4"
"669","G0302","Perawatan Lantai","3"
"670","G030201","Sapu Elektrik","4"
"671","G030202","Pemoles Lantai","4"
"672","G030203","Pel Steam","4"
"673","G030204","Pressure Washer","4"
"674","G030205","Sapu, Pel & Sweeper","4"
"675","G0303","Lampu Isi Ulang","3"
"676","G0304","Pembasmi Serangga","3"
"678","G0401","Setrika & Steamer","3"
"679","G040101","Dry Iron","4"
"680","G040102","Steam Iron","4"
"681","G040103","Steam Station","4"
"682","G0402","Mesin Jahit","3"
"683","G0403","Mesin Cuci & Pengering Pakaian","3"
"684","G040301","Mesin Cuci","4"
"685","G040302","Pengering Pakaian","4"
"686","G040303","Mesin Cuci - Pengering","4"
"687","G040304","Aksesoris Mesin Cuci & Pengering Pakaian","4"
"690","H0101","Basic","3"
"691","H0102","Netbook","3"
"692","H0103","Ultrabook","3"
"693","H0104","Game","3"
"694","H0105","Profesional","3"
"695","H0106","Layar Sentuh","3"
"697","H0201","PC All-in-One","3"
"698","H0202","PC Basic","3"
"699","H0203","PC Game","3"
"700","H0204","PC Profesional","3"
"701","H0205","Komputer Rakitan","3"
"703","H0301","Cabinet","3"
"704","H0302","Combo Motherboard","3"
"705","H0303","Fan & Heatsink","3"
"706","H0304","Graphic Card","3"
"707","H0305","Internal Optical Drive","3"
"708","H0306","Motherboard","3"
"709","H0307","Power Supply Unit","3"
"710","H0308","Processor","3"
"711","H0309","RAM","3"
"713","H0401","Adaptor Komputer","3"
"714","H0402","Baterai","3"
"715","H0403","Alat Pendingin","3"
"716","H0404","Hard Disk External","3"
"717","H0405","Keyboard","3"
"718","H0406","Mouse","3"
"719","H0407","Monitor","3"
"720","H0408","Tuner TV","3"
"721","H0409","Webcam","3"
"722","H0410","Tas & Pelindung Laptop","3"
"723","H0411","Aksesoris Lainnya","3"
"725","H0501","Access Point","3"
"726","H0502","Kabel","3"
"727","H0503","Router","3"
"728","H0504","Pengalih Jaringan","3"
"729","H0505","Adaptor USB Nirkabel","3"
"731","H0601","Tinta Inkjet","3"
"732","H0602","Toner Laser","3"
"733","H0603","Printer Multifungsi","3"
"734","H0604","Printer","3"
"735","H0605","Printer Stand","3"
"736","H0606","Printer Label","3"
"737","H0607","Mesin Fax","3"
"739","H0701","Proyektor Mini","3"
"740","H0702","Proyektor","3"
"741","H0703","Layar Proyektor","3"
"743","H0801","Scanner","3"
"745","H0901","Solid State Drive","3"
"746","H0902","Hard Drive Eksternal","3"
"747","H0903","Hard Drive Internal","3"
"748","H0904","USB Flash Drive","3"
"750","H1001","Media Pendidikan","3"
"751","H1002","Software Office","3"
"752","H1003","Sistem Operasi","3"
"753","H1004","Software Keamanan","3"
"756","I0101","Furnitur Kamar Tidur","3"
"757","I010101","Tempat Tidur","4"
"758","I010102","Meja Tempat Tidur","4"
"759","I010103","Laci & Lemari Pakaian","4"
"760","I010104","Meja Rias Kamar Tidur","4"
"761","I010105","Lemari Pakaian","4"
"762","I010106","Bed End","4"
"763","I010107","Kasur & Kasur Susun","4"
"764","I010108","Panel Screen","4"
"765","I010109","Tempat Penyimpanan","4"
"766","I0102","Furnitur Ruang Tamu","3"
"767","I010201","Kursi","4"
"768","I010202","Sofa & Sofa Sectional","4"
"769","I010203","Meja","4"
"770","I010204","Tempat Penyimpanan Media & TV","4"
"771","I010205","Rak","4"
"772","I010206","Ottoman","4"
"773","I0103","Furnitur Dapur & Ruang Makan","3"
"774","I010301","Meja Makan","4"
"775","I010302","Furnitur Bar Rumah","4"
"776","I010303","Kursi Makan","4"
"777","I010304","Kabinet","4"
"778","I010305","Dining Room Set","4"
"779","I010306","Buffet, Crendenza & Sideboard","4"
"780","I0104","Furnitur Anak & Bayi","3"
"781","I010401","Furnitur Ruang Bermain","4"
"782","I010402","Furnitur Ruang Tidur Anak","4"
"783","I010403","Tempat Tidur Anak","4"
"784","I010404","Karpet Anak","4"
"785","I0105","Furnitur Ruang Kerja Rumah","3"
"786","I010501","Meja Ruang Kerja Rumah","4"
"787","I010502","Kursi Ruang Kerja Rumah","4"
"788","I010503","Meja Laptop & Printer","4"
"789","I010504","Aksesoris Ergonomis","4"
"790","I010505","Rak Buku Kantor","4"
"791","I010506","Rak Arsip & Dokumen","4"
"792","I010507","Perangkat Furnitur Ruang Kerja Rumah","4"
"793","I0106","Furnitur Ruang Depan","3"
"794","I010601","Rak Jaket & Payung","4"
"795","I010602","Dudukan Tanaman & Meja Telepon","4"
"796","I010603","Tongkat Penyimpanan","4"
"797","I010604","Kursi Penyiman & Aksen","4"
"798","I010605","Laci Selasar","4"
"799","I010606","Rak Sepatu","4"
"800","I0107","Furnitur Ruang Bermain","3"
"801","I010701","Meja Poker","4"
"802","I010702","Meja Biliar","4"
"803","I010703","Meja Game","4"
